,Product Name,Price,Description,Colors,ImageURL,Customizable
0,Nike Air VaporMax 2021 FK,$159.97,Men's Shoes,White/Black/Metallic Silver/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/aa613683-3877-4d8e-a4d1-9aea1a6eb06d/image.jpg",False
1,Nike Air VaporMax 2021 FK,$122.97,Women's Shoes,Black/Metallic Silver/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cc64e726-4ddb-4d57-bf0d-9b1e8dadd321/image.jpg",False
2,Nike Air VaporMax 2021 FK,$134.95,Older Kids' Shoes,Black/Black/Anthracite/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f6cf8592-bd09-461f-90da-fe2a09437ac4/image.jpg",False
3,Nike Air Max 270 G,$134.95,Golf Shoe,White/Pure Platinum/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/78e78695-74ab-4162-b052-67f004aad13b/image.jpg",False
4,Nike Air Max Plus,$99.95,Older Kids' Shoe,Black/Black/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/zvggo9fhlalzrv9hc7j1/image.jpg",False
5,Nike Air Max 97,$164.95,Men's Shoes,Black/White/University Red,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c7fa66ed-271a-4f37-9425-d83a5ed742ae/image.jpg",False
6,Nike Air Max 270,$69.95,Younger Kids' Shoe,Black/Anthracite/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/moxglzupbisbn43j8lug/image.jpg",False
7,Nike Air Max Plus,$164.95,Women's Shoes,White/Pure Platinum/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/08a43894-8cc4-4d3b-983e-048c79642197/image.jpg",False
8,Nike Air Max Terrascape 90,$144.95,Men's Shoes,Summit White/Photon Dust/Light Iron Ore,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a975c3f0-e1b2-48e2-9a48-1e4394930f91/image.jpg",False
9,Nike Air Max Plus,$169.95,Men's Shoes,Black/Smoke Grey/Solar Flare/Dark Smoke Grey,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c09efd35-48dc-44cd-8d2a-9649f74be223/image.jpg",False
10,Air Max 90 LTR,$134.95,Men's Shoe,White/White/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/7b6ccd0a-2e86-4fac-8f13-a0d11c5f90df/image.jpg",False
11,Nike Air Max 95 Essential,$164.95,Men's Shoe,White/Grey Fog/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-fe4f44e2-cfd9-495e-9be1-e572868e350f/image.jpg",False
12,Nike Air Max Flyknit Racer,$101.47,Men's Shoes,Pure Platinum/White/Pure Platinum/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c2deb3da-1553-4988-8ae2-c086c12017c8/image.jpg",False
13,Nike Air Max Plus,$164.95,Men's Shoes,Black/Black/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/877d30e7-4880-46f8-aa71-6704eb7d944d/image.jpg",False
14,Nike Air Max 90,$134.95,Women's Shoes,White/White/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/2b4e0060-e7e6-42cd-aa60-1d6d7e7737f6/image.jpg",False
15,Nike Air Max 90 G,$124.95,Golf Shoe,Black/Anthracite/Cool Grey/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/08f113fb-396f-4445-a89b-f82752a7cb82/image.jpg",False
16,Nike Air VaporMax 2021 FK,$143.47,Women's Shoes,Black/Metallic Silver/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a01544ef-38ba-40a7-8b5a-031235d0846b/image.jpg",False
17,Nike Air Max 97,$169.95,Men's Shoes,White/Metallic Silver/Iron Grey/Metallic Dark Grey,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4c326751-9127-41d9-88f7-1c2c73894ad9/image.jpg",False
18,Nike Air VaporMax Plus,$155.97,Men's Shoes,White/Pure Platinum/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/g5ipp7dymwsfsltjb6ro/image.jpg",False
19,Nike Air Max 95 QS,$164.95,Men's Shoes,Summit White/Cool Grey/Wolf Grey/Light Bone,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/57482256-5674-4762-90b2-769b3c1dcdfe/image.jpg",False
20,Nike Air Max Excee,$109.95,Women's Shoes,Black/Dark Grey/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d372dc58-b43f-429f-8cac-f0a686f31955/image.jpg",False
21,Nike Air Max Plus,$69.95,Younger Kids' Shoes,Black/Black/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/wbatnncdieqtbsfar8mr/image.jpg",False
22,Nike Air Max Motif,$29.97,Baby/Toddler Shoes,White/White/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1e5458e7-1f10-4658-974e-93608d19eebf/image.jpg",False
23,Nike Air Max Excee,$65.97,Men's Shoe,Black/Dark Grey/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/edc337d0-3359-4198-8602-208fcde1b69a/image.jpg",False
24,Nike Air Max 270,$123.47,Men's Shoes,Black/Volt/Reflect Silver/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/217aaaab-4ec9-4b14-accc-12b0517e0bb9/image.jpg",False
25,Nike Air Max Dawn,$38.97,Older Kids' Shoes,Grey Fog/White/Black/Malachite,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/77235520-5d27-42be-bb34-66c403f8c3b5/image.jpg",False
26,Jordan Point Lane,$124.95,Men's Shoes,Black/Wolf Grey/White/University Red,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c999f240-9796-4e36-87c3-ce1775660ac5/image.jpg",False
27,Nike Air Max INTRLK Lite,$34.95,Baby/Toddler Shoes,White/Photon Dust/Wolf Grey/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/be095194-19b9-487f-ad9d-2ef17627e85d/image.jpg",False
28,Nike Air Max SC,$79.95,Men's Shoes,Black/Black/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/bd6363ee-7091-4f81-b673-fd0bc7e31272/image.jpg",False
29,Nike Air Max 95,$164.95,Men's Shoes,Black/Iron Grey/White/Safety Orange,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1b437b21-bc98-4672-bee7-881ca169c07a/image.jpg",False
30,Nike Air Max 270,$89.95,Older Kids' Shoe,Black/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/dff1044c-cb93-4082-9160-3751821dfc16/image.jpg",False
31,Nike Air Max 95 Essential,$164.95,Men's Shoe,Black/Dark Grey/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e20484c2-2b66-4124-b692-ad132a4ef9a5/image.jpg",False
32,Nike Air Max 95,$101.97,Women's Shoes,Night Forest/Medium Olive/Matte Olive/Chlorophyll,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c77042de-1802-4cb1-9b21-396efce6b336/image.jpg",False
33,Nike Air Max 270,$101.47,Women's Shoes,Light Bone/Sail/Coconut Milk/Sesame,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/284da5e4-bb4b-4724-9201-e70902b2d0dd/image.jpg",False
34,Nike Air Max 97,$101.97,Men's Shoes,White/Summit White/Lemon Wash/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/23d6e455-011d-4625-a5e9-cde8b3643438/image.jpg",False
35,Nike Air Max Plus,$169.95,Men's Shoe,Black/Black/Black,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/djwtlio5mqtf2ds5fkmp/air-max-plus-shoe-P1Fh7n.jpg",False
36,Nike Air Max Dawn,$35.97,Younger Kids' Shoes,Black/Metallic Silver/Total Orange/Summit White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/790474da-7bbb-4519-9ea7-518412d403e8/image.jpg",False
37,Nike Air Max 90,$134.95,Men's Shoe,Black/Black/Black/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/m55is6buar3k4isirw0k/image.jpg",False
38,Nike Air Max Plus III,$164.95,Men's Shoe,Black/White/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1cbf2075-7f55-4303-a0b4-b54360fa18f9/image.jpg",False
39,Nike Air Max Dawn SE,$41.97,Older Kids' Shoes,White/Aura/Cave Stone/Light Madder Root,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/94b58c8e-abcc-4315-a11c-3f04b0c44724/image.jpg",False
40,Nike Air Max Dawn,$41.97,Older Kids' Shoes,Grey Fog/Flat Pewter/White/Photo Blue,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cf520c09-9081-4a52-8ece-c9fefd8efa0f/image.jpg",False
41,Nike Air Max 270,$144.95,Women's Shoes,Black/White/Anthracite,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/csnnsvmzomr1gu7qfcnd/image.jpg",False
42,Nike Air Max 97,$98.97,Women's Shoes,Atlantic Blue Heather/Metallic Silver/Black/Voltage Yellow,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/25b5527b-84d5-4df8-b0ee-af4b38cd8380/image.jpg",False
43,Nike Air Max 270,$71.97,Older Kids' Shoes,Black/Bright Spruce/Barely Volt/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/086a684c-04d9-4369-aef8-28b18de5dd2f/image.jpg",False
44,Nike Air Max SC,$63.97,Men's Shoes,White/Phantom/University Red/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/5c3af11d-057c-493e-ad91-a9916be5645e/image.jpg",False
45,Nike Air Max 270,$144.95,Men's Shoes,Black/White/Solar Red/Anthracite,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/skwgyqrbfzhu6uyeh0gg/image.jpg",False
46,Nike Air Max 90 By You,$152.95,Custom Men's Shoes,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/af51150e-df06-421d-a06d-317313671a89/custom-nike-air-max-90-by-you.jpg",True
47,Nike Air Max Plus,$169.95,Men's Shoes,University Red/Black,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/80c5a970-04aa-4223-85fb-4b4ddd6fdfa7/image.jpg",False
48,Nike Air Max TW,$67.95,Younger Kids' Shoes,White/Racer Blue/Black/Speed Yellow,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e7ca742a-05ec-4456-b83e-aa74c923dfcc/image.jpg",False
49,Nike Air Max Alpha Trainer 5,$72.95,Men's Training Shoes,Light Smoke Grey/Obsidian/White/Barely Green,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/184d7f8d-d245-4f04-a24d-9558f71a6ce8/image.jpg",False
50,Nike Air Max 90 Futura,$144.95,Women's Shoes,Sand Drift/Hemp/Rose Whisper/Sand Drift,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4ef0ee8d-c73e-4490-ad4e-7981e2101b1f/image.jpg",False
51,Nike Air Max Motif,$35.97,Younger Kids' Shoes,White/Summit White/Flat Pewter/Aura,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/56e0edac-1074-4e95-93b1-674e6e9db5ed/image.jpg",False
52,Nike Air Max Furyosa,$144.95,Women's Shoes,Rattan/Obsidian/Pistachio Frost/Summit White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/988b864a-f177-4676-be5c-bee9b5f0039b/image.jpg",False
53,Nike Air Max Plus 3,$169.95,Men's Shoes,White/Rattan/Solar Flare/Light Bone,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/67daddaf-8d6f-42f5-baf0-527fa1ec660e/image.jpg",False
54,Nike Air Max TW,$144.95,Men's Shoes,White/Racer Blue/Black/Speed Yellow,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f2c0b0b1-9c95-4488-a86b-9324cee86472/image.jpg",False
55,Nike Air Max 270,$39.97,Baby & Toddler Shoe,Black/Anthracite/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f884fba7-db72-4610-9ab5-cf24eb012886/image.jpg",False
56,Nike Air Max 270,$43.97,Baby & Toddler Shoe,Black/Game Royal/Light Bone/White,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/fbda6f0d-3d71-46f3-b5ab-28b87a8ed4b2/image.jpg",False
57,Nike Air Max 95 By You,$179.95,Custom Men's Shoe,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/eed1bb5a-ebdc-4a82-a030-dff057828b10/custom-nike-air-max-95-by-you.jpg",True
58,Nike Air Max Dawn Next Nature,$65.97,Women's Shoes,Medium Ash/Olive Grey/Cobblestone/Flat Pewter,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/850932a5-58e9-40ee-9bc9-8ffb5aaa1023/image.jpg",False
59,Nike Air Max 270,$38.97,Younger Kids' Shoe,Black/Smoke Grey/Sunset Pulse/Metallic Silver,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/aa40c3c8-005b-4820-b68e-843a65a7caa5/image.jpg",False
